"Location Name","Latitude","Longitude","Number of Letters sent to this location from Pirckheimer"
"Nuremberg","49.45421","11.07752","48"
"Bamberg","49.89873","10.90067","33"
"Augsburg","48.37154","10.89851","21"
"Basel","47.5584","7.57327","17"
"Cologne","50.93333","6.95","10"
"Klarissenkloster St. Klara","49.4486","11.0794","8"
"Wittenberg","51.8661","12.64973","7"
"Leipzig","51.33962","12.37129","7"
"Vienna","48.20849","16.37208","7"
"Stuttgart","48.78232","9.17702","6"
"Strasbourg","48.58342","7.74296","6"
"Dresden","51.05089","13.73832","5"
"Rome","41.89193","12.51133","5"
"Monastery Rebdorf","48.8881","11.1676","5"
"Bologna","44.49381","11.33875","4"
"Bergen Abbey","48.7842","11.1421","4"
"Heidelberg","49.40768","8.69079","4"
"Geisenfeld Abbey","48.6833","11.6135","3"
"Mainz","49.98419","8.2791","3"
"Antwerp","51.21989","4.40346","3"
"Ingolstadt","48.76508","11.42372","3"
"Ravensburg","47.78198","9.61062","3"
"Sélestat","48.26667","7.45","3"
"Weinsberg","49.15127","9.28762","2"
"Mirandola","44.88515","11.06902","2"
"Tübingen","48.52266","9.05222","2"
"Monastery Schamhaupten","48.9138","11.5966","2"
"Altenburg","50.98763","12.43684","2"
"Arberg","49.14428","10.61722","2"
"Brixen","46.71503","11.65598","2"
"Eichstätt","48.88854","11.19675","2"
"Freiburg im Breisgau","47.9959","7.85222","2"
"Leuven","50.87959","4.70093","2"
"Frankfurt am Main","50.11552","8.68417","1"
"Ansbach","49.30481","10.5931","1"
"Bad Windsheim","49.50274","10.41539","1"
"Venice","45.43713","12.33265","1"
"Erfurt","50.9787","11.03283","1"
"Speyer","49.32083","8.43111","1"
"Ferrara","44.84346","11.60868","1"
"Herford","52.11457","8.67343","1"
"Innsbruck","47.26266","11.39454","1"
"Neustadt an der Aisch","49.57953","10.61126","1"
"Neuenstein","49.2049","9.58","1"
"Kaisheim","48.76751","10.79639","1"
"Laufenburg","47.56512","8.06045","1"
