"Location Name","Number of letters sent to this location"
"Nuremberg","955"
"Bamberg","37"
"Augsburg","36"
"Cologne","34"
"Neunhof","23"
"Basel","18"
"Nördlingen","11"
"Klarissenkloster St. Klara","11"
"Wittenberg","7"
"Leipzig","7"
"Bologna","7"
"Vienna","7"
"Bergen Abbey","6"
"Strasbourg","6"
"Stuttgart","6"
"Rome","5"
"Dresden","5"
"Monastery Rebdorf","5"
"Geisenfeld Abbey","4"
"Heidelberg","4"
"Ravensburg","3"
"Antwerp","3"
"Forchheim","3"
"Mainz","3"
"Sélestat","3"
"Ingolstadt","3"
"Leuven","2"
"Brixen","2"
"Innsbruck","2"
"Weinsberg","2"
"Tübingen","2"
"Linz","2"
"Ulm","2"
"Pfunds","2"
"Ansbach","2"
"Lindau","2"
"Monastery Schamhaupten","2"
"Arberg","2"
"Altenburg","2"
"Freiburg im Breisgau","2"
"Mirandola","2"
"Eichstätt","2"
"Venice","1"
"Erfurt","1"
"Biberach an der Riss","1"
"Waischenfeld","1"
"Frankfurt am Main","1"
"Neuenstein","1"
"Schwabach","1"
"Neustadt an der Aisch","1"
"Trier","1"
"Laufenburg","1"
"Schweinfurt","1"
"Bad Windsheim","1"
"Ferrara","1"
"Kaisheim","1"
"Speyer","1"
"Herford","1"
