"locations_name_modern","YEAR","COUNT"
"Augsburg","","1"
"Augsburg","1502","1"
"Augsburg","1506","1"
"Augsburg","1507","3"
"Augsburg","1513","1"
"Augsburg","1515","1"
"Augsburg","1516","6"
"Augsburg","1517","13"
"Augsburg","1518","8"
"Augsburg","1519","17"
"Augsburg","1520","16"
"Augsburg","1523","4"
"Augsburg","1524","1"
"Augsburg","1525","1"
"Augsburg","1526","6"
"Augsburg","1527","4"
"Augsburg","1528","4"
"Augsburg","1529","3"
"Augsburg","1530","19"
"Bamberg","1505","1"
"Bamberg","1506","13"
"Bamberg","1507","8"
"Bamberg","1508","3"
"Bamberg","1509","2"
"Bamberg","1511","3"
"Bamberg","1512","2"
"Bamberg","1513","1"
"Bamberg","1514","4"
"Bamberg","1515","1"
"Bamberg","1516","2"
"Bamberg","1517","16"
"Bamberg","1518","4"
"Bamberg","1519","12"
"Bamberg","1520","6"
"Bamberg","1525","3"
"Bamberg","1526","7"
"Bamberg","1530","1"
"Basel","1515","2"
"Basel","1516","1"
"Basel","1517","1"
"Basel","1518","2"
"Basel","1521","1"
"Basel","1522","2"
"Basel","1523","6"
"Basel","1524","7"
"Basel","1525","10"
"Basel","1526","5"
"Basel","1527","2"
"Basel","1528","5"
"Basel","1529","1"
"Bergen Abbey","1505","1"
"Bergen Abbey","1506","3"
"Bergen Abbey","1507","2"
"Bergen Abbey","1517","2"
"Bergen Abbey","1518","10"
"Bergen Abbey","1519","2"
"Bergen Abbey","1520","4"
"Bergen Abbey","1521","3"
"Bergen Abbey","1522","2"
"Bergen Abbey","1523","1"
"Bergen Abbey","1524","7"
"Bergen Abbey","1525","12"
"Bergen Abbey","1526","8"
"Bergen Abbey","1527","10"
"Bergen Abbey","1528","6"
"Bergen Abbey","1529","8"
"Bergen Abbey","1530","4"
"Bologna","1516","3"
"Bologna","1517","15"
"Bologna","1519","1"
"Bologna","1520","1"
"Bologna","1530","2"
"Eichstätt","1506","2"
"Eichstätt","1519","2"
"Eichstätt","1520","3"
"Eichstätt","1524","1"
"Eichstätt","1525","2"
"Eichstätt","1527","2"
"Eichstätt","1530","1"
"Feldkirch","1527","1"
"Feldkirch","1528","7"
"Feldkirch","1529","2"
"Feldkirch","1530","3"
"Frankfurt am Main","1518","4"
"Frankfurt am Main","1520","4"
"Frankfurt am Main","1525","2"
"Freiburg","1526","1"
"Freiburg","1529","5"
"Freiburg","1530","3"
"Geisenfeld Abbey","1506","4"
"Geisenfeld Abbey","1518","2"
"Geisenfeld Abbey","1525","1"
"Geisenfeld Abbey","1526","1"
"Geisenfeld Abbey","1527","3"
"Geisenfeld Abbey","1528","3"
"Geisenfeld Abbey","1530","5"
"Herford","1524","2"
"Herford","1525","6"
"Herford","1526","5"
"Herford","1527","1"
"Herford","1528","2"
"Herford","1529","3"
"Herford","1530","1"
"Ingolstadt","1510","1"
"Ingolstadt","1517","5"
"Ingolstadt","1519","1"
"Ingolstadt","1520","7"
"Innsbruck","1501","1"
"Innsbruck","1506","1"
"Innsbruck","1511","1"
"Innsbruck","1518","2"
"Innsbruck","1519","1"
"Innsbruck","1524","2"
"Innsbruck","1525","4"
"Innsbruck","1526","1"
"Kirchehrenbach","1524","5"
"Kirchehrenbach","1525","6"
"Leipzig","1511","1"
"Leipzig","1515","1"
"Leipzig","1516","1"
"Leipzig","1517","1"
"Leipzig","1519","2"
"Leipzig","1520","4"
"Leipzig","1521","1"
"Leipzig","1523","1"
"Leipzig","1524","4"
"Leipzig","1525","4"
"Leipzig","1526","2"
"Leipzig","1528","2"
"Leipzig","1529","1"
"Leipzig","1530","2"
"Nürnberg","","6"
"Nürnberg","1499","28"
"Nürnberg","1501","1"
"Nürnberg","1505","18"
"Nürnberg","1506","6"
"Nürnberg","1507","6"
"Nürnberg","1511","3"
"Nürnberg","1512","22"
"Nürnberg","1513","21"
"Nürnberg","1514","16"
"Nürnberg","1515","2"
"Nürnberg","1517","3"
"Nürnberg","1518","1"
"Nürnberg","1519","4"
"Nürnberg","1520","17"
"Nürnberg","1521","1"
"Nürnberg","1522","3"
"Nürnberg","1523","4"
"Nürnberg","1524","10"
"Nürnberg","1525","5"
"Nürnberg","1526","4"
"Nürnberg","1527","5"
"Nürnberg","1528","7"
"Nürnberg","1529","3"
"Nürnberg","1530","4"
"Klarissenkloster St. Klara","","2"
"Klarissenkloster St. Klara","1502","3"
"Klarissenkloster St. Klara","1513","2"
"Klarissenkloster St. Klara","1515","1"
"Klarissenkloster St. Klara","1517","2"
"Klarissenkloster St. Klara","1519","3"
"Klarissenkloster St. Klara","1523","1"
"Klarissenkloster St. Klara","1524","8"
"Klarissenkloster St. Klara","1525","23"
"Klarissenkloster St. Klara","1526","7"
"Klarissenkloster St. Klara","1527","7"
"Klarissenkloster St. Klara","1528","4"
"Klarissenkloster St. Klara","1529","8"
"Strasbourg","1524","6"
"Strasbourg","1525","4"
"Strasbourg","1529","2"
"Stuttgart","1518","1"
"Stuttgart","1519","4"
"Stuttgart","1524","4"
"Stuttgart","1527","1"
"Venice","","1"
"Venice","1505","1"
"Venice","1506","10"
"Venice","1518","2"
"Venice","1527","1"
"Venice","1529","4"
"Vienna","1515","1"
"Vienna","1519","1"
"Vienna","1524","2"
"Vienna","1525","1"
"Vienna","1526","3"
"Vienna","1527","1"
"Vienna","1529","2"
"Vienna","1530","1"
"Wittenberg","1511","1"
"Wittenberg","1519","3"
"Wittenberg","1520","2"
"Wittenberg","1521","1"
"Wittenberg","1524","2"
"Wittenberg","1525","2"
"Wittenberg","1526","1"
