"locations_name_modern","YEAR","COUNT"
"Nürnberg","1520","5"
"Nürnberg","1522","6"
"Nürnberg","1523","6"
"Nürnberg","1524","8"
"Nürnberg","1527","12"
"Nürnberg","1528","12"
"Nürnberg","1529","6"
"Nürnberg","1515","16"
"Nürnberg","1516","18"
"Nürnberg","1517","25"
"Nürnberg","1526","6"
"Nürnberg","1530","8"
"Nürnberg","1506","3"
"Nürnberg","1507","4"
"Nürnberg","1508","1"
"Nürnberg","1511","3"
"Nürnberg","1512","5"
"Nürnberg","1513","17"
"Nürnberg","1514","17"
"Nürnberg","1501","3"
"Nürnberg","1502","6"
"Nürnberg","1518","15"
"Nürnberg","1503","7"
"Nürnberg","1519","11"
"Nürnberg","1499","1"
"Nürnberg","1504","3"
"Nürnberg","1521","9"
"Nürnberg","1505","1"
"Nürnberg","1525","11"
