"ModernState","Year","NoEppSentFromPirck","NoEppSentToPirck"
"Austria","","NULL","NULL"
"Belgium","","NULL","NULL"
"Czech Republic","","NULL","NULL"
"France","","NULL","NULL"
"Germany","","NULL","9"
"Italy","","NULL","1"
"Poland","","NULL","NULL"
"Unknown","","3","3"
"Spain","","NULL","NULL"
"Switzerland","","NULL","NULL"
"Austria","1491","NULL","NULL"
"Belgium","1491","NULL","NULL"
"Czech Republic","1491","NULL","NULL"
"France","1491","NULL","NULL"
"Germany","1491","2","NULL"
"Italy","1491","NULL","NULL"
"Poland","1491","NULL","NULL"
"Unknown","1491","NULL","NULL"
"Spain","1491","NULL","NULL"
"Switzerland","1491","NULL","NULL"
"Austria","1494","NULL","NULL"
"Belgium","1494","NULL","NULL"
"Czech Republic","1494","NULL","NULL"
"France","1494","NULL","NULL"
"Germany","1494","1","NULL"
"Italy","1494","NULL","NULL"
"Poland","1494","NULL","NULL"
"Unknown","1494","NULL","NULL"
"Spain","1494","NULL","NULL"
"Switzerland","1494","NULL","NULL"
"Austria","1495","NULL","NULL"
"Belgium","1495","NULL","NULL"
"Czech Republic","1495","NULL","NULL"
"France","1495","NULL","NULL"
"Germany","1495","NULL","NULL"
"Italy","1495","NULL","1"
"Poland","1495","NULL","NULL"
"Unknown","1495","NULL","NULL"
"Spain","1495","NULL","NULL"
"Switzerland","1495","NULL","NULL"
"Austria","1496","NULL","NULL"
"Belgium","1496","NULL","NULL"
"Czech Republic","1496","NULL","NULL"
"France","1496","NULL","NULL"
"Germany","1496","NULL","NULL"
"Italy","1496","NULL","NULL"
"Poland","1496","NULL","NULL"
"Unknown","1496","1","NULL"
"Spain","1496","NULL","NULL"
"Switzerland","1496","NULL","NULL"
"Austria","1499","NULL","NULL"
"Belgium","1499","NULL","NULL"
"Czech Republic","1499","NULL","NULL"
"France","1499","NULL","NULL"
"Germany","1499","6","28"
"Italy","1499","1","NULL"
"Poland","1499","NULL","NULL"
"Unknown","1499","NULL","NULL"
"Spain","1499","NULL","NULL"
"Switzerland","1499","NULL","NULL"
"Austria","1501","NULL","1"
"Belgium","1501","NULL","NULL"
"Czech Republic","1501","NULL","NULL"
"France","1501","NULL","NULL"
"Germany","1501","NULL","1"
"Italy","1501","3","NULL"
"Poland","1501","NULL","NULL"
"Unknown","1501","NULL","NULL"
"Spain","1501","NULL","NULL"
"Switzerland","1501","NULL","NULL"
"Austria","1502","NULL","NULL"
"Belgium","1502","NULL","NULL"
"Czech Republic","1502","NULL","NULL"
"France","1502","NULL","NULL"
"Germany","1502","2","4"
"Italy","1502","2","NULL"
"Poland","1502","NULL","NULL"
"Unknown","1502","2","NULL"
"Spain","1502","NULL","NULL"
"Switzerland","1502","NULL","NULL"
"Austria","1503","3","NULL"
"Belgium","1503","NULL","NULL"
"Czech Republic","1503","NULL","NULL"
"France","1503","NULL","NULL"
"Germany","1503","3","NULL"
"Italy","1503","1","NULL"
"Poland","1503","NULL","NULL"
"Unknown","1503","NULL","NULL"
"Spain","1503","NULL","NULL"
"Switzerland","1503","NULL","NULL"
"Austria","1504","1","NULL"
"Belgium","1504","NULL","NULL"
"Czech Republic","1504","NULL","NULL"
"France","1504","NULL","NULL"
"Germany","1504","2","1"
"Italy","1504","NULL","NULL"
"Poland","1504","NULL","NULL"
"Unknown","1504","1","NULL"
"Spain","1504","NULL","NULL"
"Switzerland","1504","NULL","NULL"
"Austria","1505","NULL","NULL"
"Belgium","1505","NULL","NULL"
"Czech Republic","1505","NULL","NULL"
"France","1505","NULL","NULL"
"Germany","1505","1","21"
"Italy","1505","NULL","1"
"Poland","1505","NULL","NULL"
"Unknown","1505","NULL","NULL"
"Spain","1505","NULL","NULL"
"Switzerland","1505","NULL","NULL"
"Austria","1506","NULL","1"
"Belgium","1506","NULL","NULL"
"Czech Republic","1506","NULL","NULL"
"France","1506","NULL","3"
"Germany","1506","2","33"
"Italy","1506","NULL","11"
"Poland","1506","NULL","NULL"
"Unknown","1506","1","NULL"
"Spain","1506","NULL","NULL"
"Switzerland","1506","NULL","NULL"
"Austria","1507","NULL","NULL"
"Belgium","1507","NULL","NULL"
"Czech Republic","1507","NULL","NULL"
"France","1507","NULL","1"
"Germany","1507","5","24"
"Italy","1507","NULL","2"
"Poland","1507","NULL","NULL"
"Unknown","1507","1","NULL"
"Spain","1507","NULL","NULL"
"Switzerland","1507","NULL","1"
"Austria","1508","NULL","NULL"
"Belgium","1508","NULL","NULL"
"Czech Republic","1508","NULL","NULL"
"France","1508","NULL","NULL"
"Germany","1508","1","5"
"Italy","1508","NULL","NULL"
"Poland","1508","NULL","NULL"
"Unknown","1508","NULL","NULL"
"Spain","1508","NULL","NULL"
"Switzerland","1508","NULL","NULL"
"Austria","1509","NULL","NULL"
"Belgium","1509","NULL","NULL"
"Czech Republic","1509","NULL","NULL"
"France","1509","NULL","NULL"
"Germany","1509","NULL","3"
"Italy","1509","NULL","NULL"
"Poland","1509","NULL","NULL"
"Unknown","1509","NULL","1"
"Spain","1509","NULL","NULL"
"Switzerland","1509","NULL","NULL"
"Austria","1510","NULL","NULL"
"Belgium","1510","NULL","NULL"
"Czech Republic","1510","NULL","NULL"
"France","1510","NULL","NULL"
"Germany","1510","NULL","1"
"Italy","1510","NULL","NULL"
"Poland","1510","NULL","NULL"
"Unknown","1510","1","NULL"
"Spain","1510","NULL","NULL"
"Switzerland","1510","NULL","NULL"
"Austria","1511","NULL","1"
"Belgium","1511","NULL","NULL"
"Czech Republic","1511","NULL","NULL"
"France","1511","NULL","NULL"
"Germany","1511","4","8"
"Italy","1511","NULL","NULL"
"Poland","1511","NULL","NULL"
"Unknown","1511","1","NULL"
"Spain","1511","NULL","NULL"
"Switzerland","1511","NULL","NULL"
"Austria","1512","NULL","NULL"
"Belgium","1512","NULL","NULL"
"Czech Republic","1512","NULL","NULL"
"France","1512","NULL","NULL"
"Germany","1512","5","25"
"Italy","1512","NULL","NULL"
"Poland","1512","NULL","NULL"
"Unknown","1512","3","NULL"
"Spain","1512","NULL","NULL"
"Switzerland","1512","NULL","NULL"
"Austria","1513","NULL","NULL"
"Belgium","1513","NULL","NULL"
"Czech Republic","1513","NULL","NULL"
"France","1513","1","NULL"
"Germany","1513","25","26"
"Italy","1513","NULL","NULL"
"Poland","1513","NULL","NULL"
"Unknown","1513","1","2"
"Spain","1513","NULL","NULL"
"Switzerland","1513","1","NULL"
"Austria","1514","NULL","1"
"Belgium","1514","NULL","NULL"
"Czech Republic","1514","NULL","NULL"
"France","1514","NULL","NULL"
"Germany","1514","18","21"
"Italy","1514","NULL","NULL"
"Poland","1514","NULL","NULL"
"Unknown","1514","4","1"
"Spain","1514","NULL","NULL"
"Switzerland","1514","1","NULL"
"Austria","1515","1","1"
"Belgium","1515","NULL","NULL"
"Czech Republic","1515","NULL","NULL"
"France","1515","NULL","NULL"
"Germany","1515","11","7"
"Italy","1515","6","1"
"Poland","1515","NULL","NULL"
"Unknown","1515","6","NULL"
"Spain","1515","NULL","NULL"
"Switzerland","1515","3","2"
"Austria","1516","NULL","NULL"
"Belgium","1516","1","NULL"
"Czech Republic","1516","NULL","NULL"
"France","1516","NULL","2"
"Germany","1516","11","10"
"Italy","1516","1","3"
"Poland","1516","NULL","NULL"
"Unknown","1516","5","NULL"
"Spain","1516","NULL","NULL"
"Switzerland","1516","NULL","1"
"Austria","1517","NULL","4"
"Belgium","1517","4","2"
"Czech Republic","1517","NULL","NULL"
"France","1517","NULL","NULL"
"Germany","1517","14","47"
"Italy","1517","NULL","20"
"Poland","1517","NULL","1"
"Unknown","1517","7","2"
"Spain","1517","NULL","NULL"
"Switzerland","1517","NULL","1"
"Austria","1518","NULL","3"
"Belgium","1518","NULL","NULL"
"Czech Republic","1518","NULL","NULL"
"France","1518","1","NULL"
"Germany","1518","12","40"
"Italy","1518","NULL","3"
"Poland","1518","NULL","NULL"
"Unknown","1518","2","3"
"Spain","1518","NULL","NULL"
"Switzerland","1518","NULL","2"
"Austria","1519","NULL","2"
"Belgium","1519","NULL","NULL"
"Czech Republic","1519","NULL","NULL"
"France","1519","1","NULL"
"Germany","1519","6","64"
"Italy","1519","1","6"
"Poland","1519","NULL","NULL"
"Unknown","1519","3","NULL"
"Spain","1519","NULL","NULL"
"Switzerland","1519","NULL","NULL"
"Austria","1520","NULL","NULL"
"Belgium","1520","NULL","2"
"Czech Republic","1520","NULL","NULL"
"France","1520","NULL","NULL"
"Germany","1520","11","70"
"Italy","1520","1","1"
"Poland","1520","NULL","NULL"
"Unknown","1520","1","NULL"
"Spain","1520","NULL","NULL"
"Switzerland","1520","1","NULL"
"Austria","1521","NULL","NULL"
"Belgium","1521","NULL","1"
"Czech Republic","1521","NULL","NULL"
"France","1521","NULL","NULL"
"Germany","1521","7","7"
"Italy","1521","1","1"
"Poland","1521","NULL","NULL"
"Unknown","1521","3","NULL"
"Spain","1521","NULL","NULL"
"Switzerland","1521","NULL","1"
"Austria","1522","NULL","NULL"
"Belgium","1522","NULL","NULL"
"Czech Republic","1522","NULL","NULL"
"France","1522","NULL","NULL"
"Germany","1522","1","7"
"Italy","1522","1","NULL"
"Poland","1522","NULL","NULL"
"Unknown","1522","3","NULL"
"Spain","1522","NULL","NULL"
"Switzerland","1522","1","2"
"Austria","1523","NULL","NULL"
"Belgium","1523","NULL","NULL"
"Czech Republic","1523","NULL","NULL"
"France","1523","NULL","NULL"
"Germany","1523","3","11"
"Italy","1523","NULL","NULL"
"Poland","1523","NULL","NULL"
"Unknown","1523","1","NULL"
"Spain","1523","NULL","1"
"Switzerland","1523","2","6"
"Austria","1524","NULL","4"
"Belgium","1524","NULL","NULL"
"Czech Republic","1524","NULL","NULL"
"France","1524","1","6"
"Germany","1524","4","58"
"Italy","1524","1","4"
"Poland","1524","NULL","NULL"
"Unknown","1524","NULL","NULL"
"Spain","1524","NULL","1"
"Switzerland","1524","2","9"
"Austria","1525","NULL","5"
"Belgium","1525","NULL","NULL"
"Czech Republic","1525","NULL","NULL"
"France","1525","4","5"
"Germany","1525","5","76"
"Italy","1525","1","2"
"Poland","1525","NULL","NULL"
"Unknown","1525","NULL","NULL"
"Spain","1525","NULL","2"
"Switzerland","1525","1","10"
"Austria","1526","NULL","5"
"Belgium","1526","NULL","NULL"
"Czech Republic","1526","NULL","NULL"
"France","1526","NULL","NULL"
"Germany","1526","4","54"
"Italy","1526","NULL","NULL"
"Poland","1526","NULL","NULL"
"Unknown","1526","NULL","NULL"
"Spain","1526","NULL","8"
"Switzerland","1526","2","5"
"Austria","1527","1","2"
"Belgium","1527","NULL","NULL"
"Czech Republic","1527","NULL","1"
"France","1527","NULL","1"
"Germany","1527","8","44"
"Italy","1527","1","2"
"Poland","1527","NULL","NULL"
"Unknown","1527","1","NULL"
"Spain","1527","NULL","8"
"Switzerland","1527","1","2"
"Austria","1528","NULL","7"
"Belgium","1528","NULL","NULL"
"Czech Republic","1528","NULL","NULL"
"France","1528","NULL","1"
"Germany","1528","9","33"
"Italy","1528","NULL","NULL"
"Poland","1528","NULL","NULL"
"Unknown","1528","2","NULL"
"Spain","1528","NULL","1"
"Switzerland","1528","1","5"
"Austria","1529","NULL","5"
"Belgium","1529","NULL","NULL"
"Czech Republic","1529","NULL","NULL"
"France","1529","1","3"
"Germany","1529","5","40"
"Italy","1529","NULL","5"
"Poland","1529","NULL","3"
"Unknown","1529","NULL","NULL"
"Spain","1529","NULL","NULL"
"Switzerland","1529","NULL","1"
"Austria","1530","1","4"
"Belgium","1530","NULL","NULL"
"Czech Republic","1530","NULL","NULL"
"France","1530","NULL","NULL"
"Germany","1530","5","51"
"Italy","1530","1","3"
