"Modern State","Number of letters Pirckheimer sent to this modern state this year","send_date_year1"
"s. l. // o. O.","3",""
"Germany","2","1491"
"Germany","1","1494"
"s. l. // o. O.","1","1496"
"Germany","6","1499"
"Italy","1","1499"
"Italy","3","1501"
"Italy","2","1502"
"s. l. // o. O.","2","1502"
"Germany","2","1502"
"Germany","3","1503"
"Italy","1","1503"
"Austria","3","1503"
"Germany","2","1504"
"Austria","1","1504"
"s. l. // o. O.","1","1504"
"Germany","1","1505"
"Germany","2","1506"
"s. l. // o. O.","1","1506"
"s. l. // o. O.","1","1507"
"Germany","5","1507"
"Germany","1","1508"
"s. l. // o. O.","1","1510"
"Germany","4","1511"
"s. l. // o. O.","1","1511"
"s. l. // o. O.","3","1512"
"Germany","5","1512"
"s. l. // o. O.","1","1513"
"France","1","1513"
"Switzerland","1","1513"
"Germany","25","1513"
"Switzerland","1","1514"
"Germany","18","1514"
"s. l. // o. O.","4","1514"
"Germany","11","1515"
"Italy","6","1515"
"Switzerland","3","1515"
"s. l. // o. O.","6","1515"
"Austria","1","1515"
"Germany","11","1516"
"Italy","1","1516"
"Belgium","1","1516"
"s. l. // o. O.","5","1516"
"Germany","14","1517"
"Belgium","4","1517"
"s. l. // o. O.","7","1517"
"France","1","1518"
"s. l. // o. O.","2","1518"
"Germany","12","1518"
"France","1","1519"
"Italy","1","1519"
"s. l. // o. O.","3","1519"
"Germany","6","1519"
"Germany","11","1520"
"s. l. // o. O.","1","1520"
"Italy","1","1520"
"Switzerland","1","1520"
"Italy","1","1521"
"Germany","7","1521"
"s. l. // o. O.","3","1521"
"Switzerland","1","1522"
"s. l. // o. O.","3","1522"
"Italy","1","1522"
"Germany","1","1522"
"Germany","3","1523"
"Switzerland","2","1523"
"s. l. // o. O.","1","1523"
"France","1","1524"
"Switzerland","2","1524"
"Germany","4","1524"
"Italy","1","1524"
"France","4","1525"
"Germany","5","1525"
"Italy","1","1525"
"Switzerland","1","1525"
"Switzerland","2","1526"
"Germany","4","1526"
"Italy","1","1527"
"Austria","1","1527"
"Switzerland","1","1527"
"s. l. // o. O.","1","1527"
"Germany","8","1527"
"Germany","9","1528"
"s. l. // o. O.","2","1528"
"Switzerland","1","1528"
"Germany","5","1529"
"France","1","1529"
"Switzerland","1","1530"
"Italy","1","1530"
"Austria","1","1530"
"Germany","5","1530"
