"Modern State","Number of letters sent from this modern state to Pirckheimer this year","send_date_year1"
"Italy","1","NULL"
"Germany","9","NULL"
"Unknown","2","NULL"
"Italy","1","1495"
"Germany","28","1499"
"Germany","1","1501"
"Austria","1","1501"
"Germany","4","1502"
"Germany","1","1504"
"Italy","1","1505"
"Germany","22","1505"
"France","3","1506"
"Italy","11","1506"
"Germany","37","1506"
"Austria","1","1506"
"France","1","1507"
"Switzerland","1","1507"
"Italy","2","1507"
"Germany","25","1507"
"Germany","5","1508"
"Germany","4","1509"
"Unknown","1","1509"
"Germany","1","1510"
"Germany","8","1511"
"Austria","1","1511"
"Germany","25","1512"
"Unknown","2","1513"
"Germany","26","1513"
"Austria","1","1514"
"Unknown","1","1514"
"Germany","21","1514"
"Germany","8","1515"
"Switzerland","2","1515"
"Austria","1","1515"
"Italy","1","1515"
"Germany","10","1516"
"Switzerland","1","1516"
"Italy","3","1516"
"France","2","1516"
"Italy","20","1517"
"Belgium","2","1517"
"Germany","48","1517"
"Unknown","2","1517"
"Austria","4","1517"
"Switzerland","1","1517"
"Poland","1","1517"
"Austria","3","1518"
"Italy","3","1518"
"Unknown","3","1518"
"Germany","40","1518"
"Switzerland","2","1518"
"Germany","64","1519"
"Italy","6","1519"
"Austria","2","1519"
"Belgium","2","1520"
"Germany","72","1520"
"Italy","1","1520"
"Switzerland","1","1521"
"Italy","1","1521"
"Germany","6","1521"
"Belgium","1","1521"
"Germany","7","1522"
"Switzerland","2","1522"
"Germany","11","1523"
"Spain","1","1523"
"Switzerland","6","1523"
"Germany","58","1524"
"France","6","1524"
"Italy","4","1524"
"Austria","4","1524"
"Spain","1","1524"
"Switzerland","9","1524"
"France","6","1525"
"Germany","76","1525"
"Austria","5","1525"
"Italy","2","1525"
"Switzerland","10","1525"
"Spain","2","1525"
"Austria","5","1526"
"Switzerland","5","1526"
"Spain","8","1526"
"Germany","55","1526"
"Spain","8","1527"
"Italy","2","1527"
"Germany","44","1527"
"Switzerland","2","1527"
"France","1","1527"
"Austria","2","1527"
"Czech Republic","1","1527"
"Spain","1","1528"
"Austria","7","1528"
"Germany","33","1528"
"Switzerland","5","1528"
"France","1","1528"
"France","3","1529"
"Austria","5","1529"
"Switzerland","1","1529"
"Italy","5","1529"
"Poland","4","1529"
"Germany","40","1529"
"Italy","3","1530"
"Austria","4","1530"
"Poland","1","1530"
"Germany","51","1530"
