"Year","Number of letters with inferred send date","Number of letters with non-inferred send date"
"NULL","NULL","NULL"
"1491","NULL","2"
"1494","1","NULL"
"1495","NULL","1"
"1496","1","NULL"
"1499","NULL","35"
"1501","1","5"
"1502","7","5"
"1503","2","4"
"1504","1","5"
"1505","3","21"
"1506","6","45"
"1507","4","30"
"1508","2","5"
"1509","2","4"
"1510","2","NULL"
"1511","5","9"
"1512","5","28"
"1513","9","48"
"1514","9","37"
"1515","19","20"
"1516","15","19"
"1517","32","70"
"1518","27","38"
"1519","21","62"
"1520","14","73"
"1521","12","8"
"1522","9","6"
"1523","12","12"
"1524","25","66"
"1525","49","62"
"1526","22","56"
"1527","23","49"
"1528","19","39"
"1529","17","47"
"1530","10","57"
