"Year","Number of letters with inferred send date","Number of letters with non-inferred send date"
"NULL","NULL","NULL"
"1491","NULL","2"
"1494","1","NULL"
"1495","NULL","NULL"
"1496","1","NULL"
"1499","NULL","7"
"1501","NULL","3"
"1502","5","2"
"1503","2","4"
"1504","NULL","4"
"1505","NULL","1"
"1506","2","1"
"1507","1","5"
"1508","1","NULL"
"1509","NULL","NULL"
"1510","1","NULL"
"1511","4","1"
"1512","4","4"
"1513","4","24"
"1514","9","14"
"1515","16","11"
"1516","12","6"
"1517","19","6"
"1518","15","NULL"
"1519","8","3"
"1520","7","7"
"1521","8","3"
"1522","3","3"
"1523","2","4"
"1524","5","3"
"1525","9","2"
"1526","3","3"
"1527","7","5"
"1528","9","3"
"1529","2","4"
"1530","5","3"
