"Year","Number of letters with inferred send date","Number of letters with non-inferred send date"
"NULL","NULL","NULL"
"1491","NULL","NULL"
"1494","NULL","NULL"
"1495","NULL","1"
"1496","NULL","NULL"
"1499","NULL","28"
"1501","1","1"
"1502","2","2"
"1503","NULL","NULL"
"1504","1","NULL"
"1505","2","20"
"1506","4","44"
"1507","3","25"
"1508","1","4"
"1509","NULL","4"
"1510","1","NULL"
"1511","1","8"
"1512","1","24"
"1513","5","23"
"1514","NULL","23"
"1515","3","8"
"1516","3","13"
"1517","13","64"
"1518","11","40"
"1519","13","59"
"1520","7","66"
"1521","4","5"
"1522","6","3"
"1523","10","8"
"1524","19","63"
"1525","40","60"
"1526","19","53"
"1527","16","44"
"1528","11","36"
"1529","15","42"
"1530","5","54"
