"send_date_year1","NoEppSentFromPirck","NoEppSentToPirck"
"NULL","NULL","NULL"
"1491","2","NULL"
"1494","1","NULL"
"1495","NULL","1"
"1496","1","NULL"
"1499","7","28"
"1501","3","2"
"1502","7","4"
"1503","6","NULL"
"1504","4","1"
"1505","1","22"
"1506","3","48"
"1507","6","28"
"1508","1","5"
"1509","NULL","4"
"1510","1","1"
"1511","5","9"
"1512","8","25"
"1513","28","28"
"1514","23","23"
"1515","27","11"
"1516","18","16"
"1517","25","77"
"1518","15","51"
"1519","11","72"
"1520","14","73"
"1521","11","9"
"1522","6","9"
"1523","6","18"
"1524","8","82"
"1525","11","100"
"1526","6","72"
"1527","12","60"
"1528","12","47"
"1529","6","57"
"1530","8","59"
