"send_date_computable1","NoEppSentFromPirck"
"1520-04-30","1"
"1522-02-20","1"
"1523-02-17","1"
"1524-09-01","1"
"1527-09-01","2"
"1528-01-19","1"
"1529-06-14","1"
"1515-04-01","1"
"1515-10-01","1"
"1515-12-13","1"
"1516-05-20","1"
"1517-02-01","1"
"1517-03-20","4"
"1517-10-03","2"
"1517-12-31","1"
"1491-05-04","1"
"1526-06-22","1"
"1526-07-30","1"
"1526-09-01","1"
"1526-10-22","1"
"1526-06-21","1"
"1526-12-15","1"
"1527-01-10","1"
"1527-02-04","1"
"1527-02-14","2"
"1527-03-19","1"
"1527-04-08","1"
"1527-06-01","1"
"1527-07-10","1"
"1527-12-04","1"
"1527-12-19","1"
"1528-02-05","1"
"1528-03-01","1"
"1528-04-07","1"
"1528-04-16","1"
"1528-04-22","1"
"1528-05-14","1"
"1528-05-01","2"
"1528-05-20","1"
"1528-06-01","1"
"1528-12-15","1"
"1529-03-15","1"
"1529-05-15","1"
"1529-06-15","1"
"1529-09-25","1"
"1529-11-20","1"
"1530-01-10","1"
"1530-03-15","1"
"1530-07-01","2"
"1506-10-31","1"
"1530-10-09","1"
"1530-10-15","1"
"1530-10-31","1"
"1530-11-15","1"
"1506-01-01","2"
"1507-02-19","1"
"1499-06-13","1"
"1507-04-24","2"
"1507-05-20","1"
"1507-07-01","1"
"1507-10-25","1"
"1508-08-28","1"
"1510-01-01","1"
"1504-03-30","1"
"1511-07-01","1"
"1511-01-01","3"
"1511-10-01","1"
"1491-07-12","1"
"1512-01-01","3"
"1512-09-01","1"
"1512-09-18","1"
"1512-10-01","1"
"1512-10-22","1"
"1512-12-01","1"
"1513-04-07","1"
"1513-06-01","1"
"1513-01-01","1"
"1513-07-01","2"
"1513-06-27","1"
"1513-07-07","1"
"1513-07-16","1"
"1513-07-27","1"
"1513-08-05","1"
"1513-08-20","1"
"1513-09-02","1"
"1513-09-20","1"
"1513-09-27","1"
"1513-10-05","1"
"1513-10-10","1"
"1513-10-25","1"
"1513-11-09","1"
"1513-11-12","1"
"1513-12-02","1"
"1513-12-04","1"
"1513-12-08","1"
"1513-12-11","1"
"1513-12-17","1"
"1513-12-18","1"
"1513-12-22","1"
"1513-12-31","1"
"1513-11-01","1"
"1514-01-01","3"
"1514-02-15","1"
"1514-02-26","1"
"1494-11-23","1"
"1514-04-20","1"
"1514-04-22","1"
"1514-04-24","1"
"1514-04-29","1"
"1514-06-23","1"
"1514-06-28","2"
"1514-07-06","1"
"1514-07-08","1"
"1514-07-31","1"
"1514-08-08","1"
"1514-09-20","1"
"1514-10-01","3"
"1514-11-20","1"
"1514-12-01","1"
"1514-12-09","1"
"1515-01-01","7"
"1515-01-02","1"
"1515-01-26","1"
"1515-03-01","3"
"1515-04-27","1"
"1515-05-16","1"
"1515-06-13","1"
"1515-08-01","1"
"1515-09-01","1"
"1515-09-30","2"
"1515-10-17","1"
"1515-10-26","1"
"1515-10-31","1"
"1515-11-22","2"
"1515-12-29","1"
"1515-12-20","1"
"1516-01-01","2"
"1516-02-10","1"
"1516-02-14","1"
"1516-02-15","1"
"1516-02-20","3"
"1516-04-10","1"
"1516-07-19","1"
"1516-09-02","1"
"1516-10-01","1"
"1516-10-02","1"
"1501-07-19","1"
"1516-11-01","1"
"1516-12-01","1"
"1516-12-25","1"
"1516-12-26","1"
"1517-01-01","1"
"1517-01-20","1"
"1517-02-10","1"
"1517-03-01","1"
"1501-09-22","1"
"1517-03-26","1"
"1517-04-20","1"
"1501-12-19","1"
"1517-05-10","1"
"1517-05-16","1"
"1517-06-26","1"
"1517-07-01","1"
"1517-08-30","1"
"1517-09-10","1"
"1517-11-23","1"
"1517-12-10","1"
"1496-01-01","1"
"1502-04-14","1"
"1517-11-01","3"
"1502-03-01","1"
"1502-01-01","2"
"1518-02-24","1"
"1518-02-20","2"
"1518-03-10","3"
"1502-06-01","1"
"1518-01-01","1"
"1518-05-10","1"
"1518-07-20","1"
"1502-08-15","1"
"1518-08-02","1"
"1518-08-05","1"
"1518-05-25","1"
"1518-09-01","1"
"1518-11-01","1"
"1503-01-31","1"
"1518-12-29","1"
"1502-12-16","1"
"1519-01-19","1"
"1503-03-10","1"
"1519-03-01","1"
"1499-01-12","1"
"1503-11-17","1"
"1519-06-20","1"
"1503-11-01","1"
"1503-12-21","2"
"1519-07-16","1"
"1519-08-27","1"
"1519-10-15","1"
"1504-03-14","1"
"1519-11-15","1"
"1519-11-23","1"
"1504-04-12","1"
"1519-12-01","1"
"1504-08-13","1"
"1519-12-23","1"
"1519-12-20","1"
"1504-12-28","1"
"1499-05-08","1"
"1520-09-01","3"
"1520-10-18","2"
"1520-10-30","1"
"1520-10-31","1"
"1520-11-06","1"
"1520-12-01","3"
"1520-12-20","1"
"1520-12-21","1"
"1521-01-10","1"
"1521-02-01","1"
"1521-03-04","1"
"1521-03-05","1"
"1521-06-01","1"
"1521-09-01","2"
"1521-10-01","2"
"1521-11-01","1"
"1521-04-01","1"
"1522-02-26","1"
"1522-04-01","1"
"1522-08-01","2"
"1522-08-31","1"
"1523-02-15","1"
"1523-02-14","1"
"1523-07-01","1"
"1523-08-10","1"
"1499-05-09","1"
"1523-11-01","1"
"1524-01-01","2"
"1524-01-23","1"
"1524-02-09","1"
"1524-06-01","1"
"1505-12-15","1"
"1524-08-01","1"
"1524-10-20","1"
"1525-02-03","1"
"1525-02-04","1"
"1499-05-14","2"
"1499-05-19","1"
"1525-02-16","1"
"1525-03-01","1"
"1525-03-20","1"
"1525-04-02","1"
"1525-04-16","1"
"1525-06-20","1"
"1525-09-16","1"
"1525-11-01","2"
